column_name,data_type
blockchain,varchar
project,varchar
version,integer
version_name,varchar
block_month,date
block_date,date
block_time,timestamp(3) with time zone
block_slot,bigint
trade_source,varchar
token_bought_symbol,varchar
token_sold_symbol,varchar
token_pair,varchar
token_bought_amount,double
token_sold_amount,double
token_bought_amount_raw,uint256
token_sold_amount_raw,uint256
amount_usd,double
fee_tier,double
fee_usd,double
token_bought_mint_address,varchar
token_sold_mint_address,varchar
token_bought_vault,varchar
token_sold_vault,varchar
project_program_id,varchar
project_main_id,varchar
trader_id,varchar
tx_id,varchar
outer_instruction_index,integer
inner_instruction_index,integer
tx_index,integer
_updated_at,timestamp(3) with time zone
