profile,rung,dimension,score,evidence_basis
L0 naive before-after,L0,Effect magnitude,1.0,|estimate|=0.6687 log points
L0 naive before-after,L0,Estimate precision,1.0,CI width=0.2458
L0 naive before-after,L0,Control / FE design,0.0,"Two-sample pre/post mean difference, treated only, +/-90 days"
L0 naive before-after,L0,Few-cluster correction,0.0,"Two-sample pre/post mean difference, treated only, +/-90 days"
L0 naive before-after,L0,Conservative conclusion,0.0,worked_decision=yes
L0 naive before-after,L0,Agent method coverage,0.525,method_omission_rate=0.475
L0 naive before-after,L0,Agent calibration quality,0.25,calibration_gap=-0.750
L2 TWFE DiD,L2,Effect magnitude,0.6156514627747942,|estimate|=0.4117 log points
L2 TWFE DiD,L2,Estimate precision,0.227667869715604,CI width=1.0794
L2 TWFE DiD,L2,Control / FE design,1.0,"OLS log_volume ~ did + unit FE + date FE, HC1"
L2 TWFE DiD,L2,Few-cluster correction,0.0,"OLS log_volume ~ did + unit FE + date FE, HC1"
L2 TWFE DiD,L2,Conservative conclusion,1.0,worked_decision=no_or_uncertain
L2 TWFE DiD,L2,Agent method coverage,0.5,method_omission_rate=0.500
L2 TWFE DiD,L2,Agent calibration quality,0.25,calibration_gap=-0.750
L6 wild-cluster DiD,L6,Effect magnitude,0.6156514627747942,|estimate|=0.4117 log points
L6 wild-cluster DiD,L6,Estimate precision,0.09154057693088258,CI width=2.6846
L6 wild-cluster DiD,L6,Control / FE design,1.0,Exact Rademacher wild-cluster bootstrap over protocol units
L6 wild-cluster DiD,L6,Few-cluster correction,1.0,Exact Rademacher wild-cluster bootstrap over protocol units
L6 wild-cluster DiD,L6,Conservative conclusion,1.0,worked_decision=no_or_uncertain
L6 wild-cluster DiD,L6,Agent method coverage,0.8,method_omission_rate=0.200
L6 wild-cluster DiD,L6,Agent calibration quality,0.6,calibration_gap=-0.400
