rank,cohort_id,size,n_launches,avg_first_rank,sol_total,score,first_seen,last_seen
1,COH-0001,9,42,2.29,68.1159,430.44,2026-06-13T22:01:14Z,2026-06-24T18:22:21Z
2,COH-0002,3,41,2.61,1.6215,413.19,2026-06-12T05:06:02Z,2026-06-23T20:05:13Z
3,COH-0003,3,28,3.0,24.3287,286.6,2026-06-13T21:09:27Z,2026-06-23T12:07:40Z
4,COH-0004,3,27,3.11,6.0833,274.07,2026-06-12T11:47:26Z,2026-06-24T13:57:39Z
5,COH-0005,3,26,5.42,36.4575,266.96,2026-06-14T04:56:27Z,2026-06-25T06:12:57Z
6,COH-0006,2,25,5.04,29.1464,256.39,2026-06-14T10:57:19Z,2026-06-24T03:51:22Z
7,COH-0007,6,25,1.76,4.3605,254.93,2026-06-15T06:39:49Z,2026-06-24T05:03:27Z
8,COH-0008,3,24,2.83,44.7712,248.46,2026-06-12T05:51:45Z,2026-06-23T15:40:36Z
9,COH-0009,3,24,2.71,17.4448,246.02,2026-06-14T06:24:02Z,2026-06-24T08:16:41Z
10,COH-0010,3,23,3.61,48.731,238.37,2026-06-12T08:31:06Z,2026-06-24T13:13:02Z
