specification,sample,outcome,scale,estimate,std_error,ci_low,ci_high,p_value,n_days
comparative_hac7,gross_21d,launches,log1p,-0.9661147726512792,0.14586859362092192,-1.252017216148286,-0.6802123291542723,3.515391060960331e-11,42
pretrend_hac7,gross_21d,launches,log1p_per_day,-0.0021853261702483385,0.008135828106075296,-0.018131549258155917,0.013760896917659242,0.7882334691792642,21
pump_before_after_hac7,gross_21d,launches,log1p,-0.18739612237578815,0.05028457511827698,-0.28595388960761103,-0.08883835514396526,0.00019399401761588812,42
comparative_hac7,gross_21d,unique_creators,log1p,-0.6851741723456017,0.06988733347154014,-0.8221533459498204,-0.5481949987413831,1.0823260595201637e-22,42
pretrend_hac7,gross_21d,unique_creators,log1p_per_day,0.007500778316439462,0.006322474569531313,-0.004891271839841911,0.019892828472720836,0.23547720258408816,21
pump_before_after_hac7,gross_21d,unique_creators,log1p,-0.17001279276525438,0.032572978249006596,-0.2338558301333073,-0.10616975539720146,1.7946234899475233e-07,42
comparative_hac7,quality_7d_21d,launches,log1p,-1.0080251636579687,0.14742730642210528,-1.296982684245295,-0.7190676430706424,8.062159313999051e-12,42
pretrend_hac7,quality_7d_21d,launches,log1p_per_day,-0.01405207644651904,0.003665663112192112,-0.02123677614641558,-0.006867376746622501,0.00012636687957022104,21
pump_before_after_hac7,quality_7d_21d,launches,log1p,-0.24116286804463033,0.04507212569224434,-0.32950423440142923,-0.15282150168783143,8.766360732559403e-08,42
comparative_hac7,quality_7d_21d,graduated_7d,log1p,-1.1902477037873207,0.12454104366482241,-1.4343481493703727,-0.9461472582042688,1.2113545425166618e-21,42
pretrend_hac7,quality_7d_21d,graduated_7d,log1p_per_day,0.0061874345049016365,0.014678740511662106,-0.02258289689795609,0.03495776590775936,0.6733728334324359,21
pump_before_after_hac7,quality_7d_21d,graduated_7d,log1p,-0.22774159923919504,0.04921680419936573,-0.3242065354699519,-0.1312766630084382,3.7043894933328e-06,42
comparative_hac7,quality_7d_21d,graduation_rate_7d,level,-0.014581270823565546,0.004553196123746306,-0.023505535226108307,-0.005657006421022785,0.0013627560127397488,42
pretrend_hac7,quality_7d_21d,graduation_rate_7d,level_per_day,0.0002463254404834309,0.0003343784393466734,-0.0004090563006360489,0.0009017071816029107,0.46132510028012647,21
pump_before_after_hac7,quality_7d_21d,graduation_rate_7d,level,0.00014771566399149076,0.0005564490232587153,-0.000942924421595591,0.0012383557495785726,0.7906541424728979,42
comparative_hac7,quality_30d_21d,launches,log1p,0.004471462454690749,0.1871538712358317,-0.36235012516753934,0.37129305007692087,0.9809388315595943,42
pretrend_hac7,quality_30d_21d,launches,log1p_per_day,0.044234486365804314,0.005428072279364979,0.03359546469824896,0.05487350803335967,3.663174647857507e-16,21
pump_before_after_hac7,quality_30d_21d,launches,log1p,0.02628450100029895,0.062323198222713774,-0.09586896751622004,0.14843796951681795,0.6732111105304406,42
comparative_hac7,quality_30d_21d,graduated_30d,log1p,-0.05056167626290529,0.2347810122273541,-0.5107324602285193,0.4096091077027087,0.8294891856487916,42
pretrend_hac7,quality_30d_21d,graduated_30d,log1p_per_day,0.06376032315836748,0.03551792411952324,-0.005854808115898072,0.13337545443263304,0.07262836171105319,21
pump_before_after_hac7,quality_30d_21d,graduated_30d,log1p,0.45793673823551334,0.3208989809297777,-0.1710252643868509,1.0868987408578776,0.15356741637261265,42
comparative_hac7,quality_30d_21d,graduation_rate_30d,level,-0.01386445169681567,0.004255880935420734,-0.02220597833024031,-0.00552292506339103,0.001123127207814125,42
pretrend_hac7,quality_30d_21d,graduation_rate_30d,level_per_day,-0.0007762951673362015,0.0001848011020537648,-0.0011385053273615805,-0.0004140850073108225,2.660834972895688e-05,21
pump_before_after_hac7,quality_30d_21d,graduation_rate_30d,level,0.002061307631088626,0.0010780636959004713,-5.169721287629804e-05,0.00417431247505355,0.05587026399155319,42
comparative_hac7,quality_7d_21d,launch_minus_migrated_7d,log1p_difference,0.18222254012935174,0.18177210967473206,-0.17405079483312308,0.5384958750918265,0.31611278898069384,42
