coverage_type,unit_id,token_id,pool_id,cohort_side,from_block,to_block,observed_rows,coverage_status,collected_at_utc,source_layer
poolmanager_swaps,swap:0xacf262ec3426b7f3adf60de843efb3d5163bfee4a3e04314a6d2ba999425b334:34725785,0x4ba3702a27ffd7127df63c4ac909ac8e65362ff1,0xacf262ec3426b7f3adf60de843efb3d5163bfee4a3e04314a6d2ba999425b334,post_v4_1_treated,34725785,34771285,4,processed_with_rows,2026-08-09T15:16:50Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
erc20_transfers,transfer:0x4ba3702a27ffd7127df63c4ac909ac8e65362ff1:34725785,0x4ba3702a27ffd7127df63c4ac909ac8e65362ff1,0xacf262ec3426b7f3adf60de843efb3d5163bfee4a3e04314a6d2ba999425b334,post_v4_1_treated,34725785,34771285,10,processed_with_rows,2026-08-09T15:16:55Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
poolmanager_swaps,swap:0x976ccbf95264ea09e4ed4d01366785c129820e9a9788f3dceb924163daf2e03b:34725930,0x4ff793b86ced830a10789abbc5c77ab72a6bac5c,0x976ccbf95264ea09e4ed4d01366785c129820e9a9788f3dceb924163daf2e03b,post_v4_1_treated,34725930,34771430,4,processed_with_rows,2026-08-09T15:59:17Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
poolmanager_swaps,swap:0x7ee00b76ec817542cd14883afc21574f1b5455a1633ce7da3cc655d2faec6312:34819654,0x920ffa2fe44f69e0c94d22441af425c54a7e6db6,0x7ee00b76ec817542cd14883afc21574f1b5455a1633ce7da3cc655d2faec6312,post_v4_1_treated,34819654,34865154,4,processed_with_rows,2026-08-09T15:59:22Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
poolmanager_swaps,swap:0x58d8ff68bf6a5d5bd719a15455d489c24f26403ab12c88d0cf37e3d8c795a0e0:34845971,0x297bc283897910f1df307e124f4ada581ed66b07,0x58d8ff68bf6a5d5bd719a15455d489c24f26403ab12c88d0cf37e3d8c795a0e0,post_v4_1_treated,34845971,34891471,0,processed_zero_rows,2026-08-09T15:59:26Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
poolmanager_swaps,swap:0xdd8e0bb9ab642b4a76a84f072fcc529dbfd5b8bbb86dca1e5dd16ed76e2ece35:34941859,0x10c072df8e2d3d705e37260dae92e46bc60770d3,0xdd8e0bb9ab642b4a76a84f072fcc529dbfd5b8bbb86dca1e5dd16ed76e2ece35,post_v4_1_treated,34941859,34987359,4,processed_with_rows,2026-08-09T15:59:32Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
poolmanager_swaps,swap:0x88520221754aa1d638ad9dc7e882e958250c74dcfe82b33c13429c904a9736af:34941885,0x5405cfd0feedaae94eda613d26c8e0eacb1dabc9,0x88520221754aa1d638ad9dc7e882e958250c74dcfe82b33c13429c904a9736af,post_v4_1_treated,34941885,34987385,4,processed_with_rows,2026-08-09T15:59:32Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
erc20_transfers,transfer:0x4ff793b86ced830a10789abbc5c77ab72a6bac5c:34725930,0x4ff793b86ced830a10789abbc5c77ab72a6bac5c,0x976ccbf95264ea09e4ed4d01366785c129820e9a9788f3dceb924163daf2e03b,post_v4_1_treated,34725930,34771430,10,processed_with_rows,2026-08-09T15:59:37Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
erc20_transfers,transfer:0x920ffa2fe44f69e0c94d22441af425c54a7e6db6:34819654,0x920ffa2fe44f69e0c94d22441af425c54a7e6db6,0x7ee00b76ec817542cd14883afc21574f1b5455a1633ce7da3cc655d2faec6312,post_v4_1_treated,34819654,34865154,10,processed_with_rows,2026-08-09T15:59:42Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
erc20_transfers,transfer:0x297bc283897910f1df307e124f4ada581ed66b07:34845971,0x297bc283897910f1df307e124f4ada581ed66b07,0x58d8ff68bf6a5d5bd719a15455d489c24f26403ab12c88d0cf37e3d8c795a0e0,post_v4_1_treated,34845971,34891471,4,processed_with_rows,2026-08-09T15:59:46Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
erc20_transfers,transfer:0x10c072df8e2d3d705e37260dae92e46bc60770d3:34941859,0x10c072df8e2d3d705e37260dae92e46bc60770d3,0xdd8e0bb9ab642b4a76a84f072fcc529dbfd5b8bbb86dca1e5dd16ed76e2ece35,post_v4_1_treated,34941859,34987359,10,processed_with_rows,2026-08-09T15:59:52Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
erc20_transfers,transfer:0x5405cfd0feedaae94eda613d26c8e0eacb1dabc9:34941885,0x5405cfd0feedaae94eda613d26c8e0eacb1dabc9,0x88520221754aa1d638ad9dc7e882e958250c74dcfe82b33c13429c904a9736af,post_v4_1_treated,34941885,34987385,10,processed_with_rows,2026-08-09T15:59:52Z,Base JSON-RPC/archive log backfill: https://mainnet.base.org
