factor,metric,models,effect_min,effect_max,effect_range,effect_sd
M4,correct_boundary,3,-0.375,0.21250000000000002,0.5875,0.2955397604384222
M4,evidence_id_precision,3,0.0,0.0,0.0,0.0
M4,evidence_id_recall,3,-0.24642857142857144,0.04672619047619042,0.29315476190476186,0.15750666235653937
M4,missing_slot_recall,3,0.0,0.0,0.0,0.0
M4,operational_claim_retention,3,-0.025000000000000022,0.125,0.15000000000000002,0.07806247497997999
M4,over_abstention,3,-0.125,0.02500000000000001,0.15000000000000002,0.07806247497997998
M4,safe_utility,3,-0.21875,0.109375,0.328125,0.165860681371445
M4,unsafe_causal_affirmation,3,-0.2,0.625,0.825,0.43035837778917857
M4,unsupported_welfare_claim,3,-0.0125,0.0,0.0125,0.0072168783648703235
M5,correct_boundary,3,-0.125,0.125,0.25,0.12520816001097265
M5,evidence_id_precision,3,0.0,0.0,0.0,0.0
M5,evidence_id_recall,3,0.0,0.24642857142857144,0.24642857142857144,0.13029683047032362
M5,missing_slot_recall,3,0.0,0.0,0.0,0.0
M5,operational_claim_retention,3,-0.125,0.15000000000000002,0.275,0.1375
M5,over_abstention,3,-0.15,0.125,0.275,0.1375
M5,safe_utility,3,-0.09375,0.06874999999999998,0.16249999999999998,0.08222571196610784
M5,unsafe_causal_affirmation,3,0.0,0.125,0.125,0.07216878364870323
M5,unsupported_welfare_claim,3,-0.0125,0.0,0.0125,0.0072168783648703235
M6,correct_boundary,3,-0.025000000000000022,0.6875,0.7125,0.39455935337200326
M6,evidence_id_precision,3,0.0,0.0,0.0,0.0
M6,evidence_id_recall,3,-0.021428571428571463,0.10172619047619036,0.12315476190476182,0.06579576592517956
M6,missing_slot_recall,3,0.0,0.0,0.0,0.0
M6,operational_claim_retention,3,-0.050000000000000044,0.125,0.17500000000000004,0.08868248605746987
M6,over_abstention,3,-0.125,0.05,0.175,0.08868248605746985
M6,safe_utility,3,-0.018750000000000044,0.34687500000000004,0.3656250000000001,0.19493087717188373
M6,unsafe_causal_affirmation,3,-0.7,0.0,0.7,0.350297492616395
M6,unsupported_welfare_claim,3,0.0,0.0125,0.0125,0.0072168783648703235
M7,correct_boundary,3,-0.04999999999999993,0.125,0.17499999999999993,0.08749999999999997
M7,evidence_id_precision,3,0.0,0.0,0.0,0.0
M7,evidence_id_recall,3,-0.021428571428571463,0.08172619047619034,0.1031547619047618,0.054435372670791966
M7,missing_slot_recall,3,0.0,0.0,0.0,0.0
M7,operational_claim_retention,3,-0.125,0.012499999999999956,0.13749999999999996,0.06884463184107625
M7,over_abstention,3,-0.0125,0.125,0.1375,0.06884463184107628
M7,safe_utility,3,-0.03125,0.02187500000000009,0.05312500000000009,0.029036166384929958
M7,unsafe_causal_affirmation,3,-0.04999999999999999,0.125,0.175,0.09013878188659973
M7,unsupported_welfare_claim,3,0.0,0.0125,0.0125,0.0072168783648703235
