outcome,effect_label,effect,gap,arm,method,true_tau,n_rep,n_identified,bias,bias_mcse,rmse,coverage,coverage_mcse,fpr,fnr,sign_correctness,claim_accuracy,claim_accuracy_mcse,attenuation_ratio,unidentified_rate,gate_rejection_rate,anticipation_classification_accuracy
launches,primary,0.15,3,zero,naive_announcement,0.0,2000,2000,-0.0003934360389968623,0.001475735471004836,0.06598156831646343,0.8005,0.008935875726530668,0.1995,,,0.8005,0.008935875726530668,,0.0,,
launches,primary,0.15,3,zero,verified_activation,0.0,2000,2000,-0.0010421139817557924,0.0014815959273321289,0.06625061402608572,0.8105,0.008763268511234835,0.1895,,,0.8105,0.008763268511234835,,0.0,,
launches,primary,0.15,3,zero,activation_plus_anticipation_gate,0.0,2000,1003,0.0006222892251194604,0.002062154695771879,0.06527920187281933,0.8255234297108675,0.011983475524751448,0.1744765702891326,,,0.8255234297108675,0.011983475524751448,,0.4985,0.4985,0.5015
launches,primary,0.15,3,no_anticipation,naive_announcement,0.15,2000,2000,-0.016143009574127343,0.0015427188408945972,0.07083911081309995,0.807,0.008824709626950906,,0.3505,0.974,0.6475,0.01068278404724162,0.8923799361724843,0.0,,
launches,primary,0.15,3,no_anticipation,verified_activation,0.15,2000,2000,0.000591971787864326,0.0015567950437619966,0.0696071004736814,0.7905,0.009099718402236412,,0.245,0.99,0.753,0.009643417444039223,1.0039464785857621,0.0,,
launches,primary,0.15,3,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1026,0.004951614370694801,0.0021915354470513335,0.07033787593431166,0.7914230019493177,0.012684222749507007,,0.24561403508771928,0.99317738791423,0.753411306042885,0.013456402418636267,1.0330107624712987,0.487,0.487,0.513
launches,primary,0.15,3,anticipation,naive_announcement,0.15,2000,2000,-0.010302719251542775,0.0015164706001890797,0.06857997159062205,0.8135,0.008709700052240605,,0.302,0.983,0.6965,0.010280752647544827,0.9313152049897149,0.0,,
launches,primary,0.15,3,anticipation,verified_activation,0.15,2000,2000,-0.006785300634855773,0.00154280412315168,0.06931196999776164,0.8175,0.008636948245763661,,0.2825,0.9835,0.7165,0.010077890404246318,0.9547646624342948,0.0,,
launches,primary,0.15,3,anticipation,activation_plus_anticipation_gate,0.15,2000,1080,-0.005985159279418395,0.002057256706989889,0.06784157573032058,0.8351851851851851,0.0112895761341706,,0.2972222222222222,0.9833333333333333,0.7027777777777777,0.013907138216394959,0.9600989381372107,0.46,0.46,0.46
launches,primary,0.15,5,zero,naive_announcement,0.0,2000,2000,8.90467871268803e-05,0.001550522581464685,0.0693241975093725,0.794,0.009043340090917736,0.206,,,0.794,0.009043340090917736,,0.0,,
launches,primary,0.15,5,zero,verified_activation,0.0,2000,2000,0.0006746821604461105,0.0015703346058205613,0.07021318105397747,0.7855,0.009178500694557909,0.2145,,,0.7855,0.009178500694557909,,0.0,,
launches,primary,0.15,5,zero,activation_plus_anticipation_gate,0.0,2000,1133,0.004912019164489069,0.002114571841658959,0.07131457539322625,0.8120035304501324,0.011607504229825347,0.1879964695498676,,,0.8120035304501324,0.011607504229825347,,0.4335,0.4335,0.5665
launches,primary,0.15,5,no_anticipation,naive_announcement,0.15,2000,2000,-0.02790643732180552,0.0015204644098846974,0.07348524665146179,0.815,0.008682597537603596,,0.4195,0.9595,0.578,0.011043459602859965,0.8139570845212966,0.0,,
launches,primary,0.15,5,no_anticipation,verified_activation,0.15,2000,2000,-0.0006539309013946781,0.001492661853351708,0.066740380603635,0.8145,0.008691655480977141,,0.2355,0.99,0.7635,0.009501782727467515,0.9956404606573688,0.0,,
launches,primary,0.15,5,no_anticipation,activation_plus_anticipation_gate,0.15,2000,1122,0.004737413871367863,0.0019923648567889227,0.06687505108175132,0.8449197860962567,0.010806610720195961,,0.24242424242424243,0.983957219251337,0.7566844919786097,0.012809904241735259,1.0315827591424525,0.439,0.439,0.561
launches,primary,0.15,5,anticipation,naive_announcement,0.15,2000,2000,-0.016471190563836974,0.0015340041079488676,0.07053569420084436,0.815,0.008682597537603596,,0.3525,0.9715,0.647,0.010686229456641851,0.8901920629077535,0.0,,
launches,primary,0.15,5,anticipation,verified_activation,0.15,2000,2000,-0.010774212717811454,0.0015012274055724003,0.0679793896887041,0.798,0.008977638887814545,,0.3005,0.9865,0.6995,0.010251823008616564,0.9281719152145903,0.0,,
launches,primary,0.15,5,anticipation,activation_plus_anticipation_gate,0.15,2000,1112,-0.006316110163696265,0.001958912391899276,0.06559859371968767,0.8381294964028777,0.011045541910618207,,0.3120503597122302,0.9901079136690647,0.6879496402877698,0.013894351263966626,0.9578925989086916,0.444,0.444,0.444
