arm,method,n_reps,n_failures,failure_rate,rejection_rate_05,mc_se_rejection,fpr,power,fnr,claim_accuracy,p_value_mean,p_value_median,ci_coverage,ci_mean_width,mc_se_coverage,calibration_gain_vs_baseline,power_loss_vs_baseline
low_power,crv1_normal,10000,0,0.0,0.1289,0.0033508922692321815,,0.1289,0.8711,0.1289,0.35668496418323875,0.31926230359161545,0.9367,2.371877515155106,0.002435017659073544,,0.0
low_power,crv1_t3,10000,0,0.0,0.0541,0.0022621491993235106,,0.0541,0.9459,0.0541,0.4178461901949651,0.3926699044319484,0.977,3.851281398143778,0.001499033021650958,,0.07479999999999998
low_power,wild_sign_enum,10000,0,0.0,0.0,0.0,,0.0,1.0,0.0,0.5565125,0.5,,,,,0.1289
moderate,crv1_normal,10000,0,0.0,0.2162,0.004116522318656854,,0.2162,0.7838,0.2162,0.34062329012430803,0.24488429545287826,0.9317,2.342739554101498,0.0025226000475699673,,0.0
moderate,crv1_t3,10000,0,0.0,0.1048,0.003062955435523018,,0.1048,0.8952,0.1048,0.3977237032881376,0.32897733690027414,0.9722,3.803969306069639,0.0016439939172636876,,0.1114
moderate,wild_sign_enum,10000,0,0.0,0.0,0.0,,0.0,1.0,0.0,0.5480125,0.5,,,,,0.2162
zero,crv1_normal,10000,0,0.0,0.0646,0.002458187136895806,0.0646,,,0.9354,0.36072452755059115,0.3398433645711511,0.9354,2.352835155066426,0.0024581871368958056,0.0,
zero,crv1_t3,10000,0,0.0,0.0259,0.001588369919130931,0.0259,,,0.9741,0.42502979888073994,0.4102583732761205,0.9741,3.8203618052399717,0.001588369919130932,0.038700000000000005,
zero,randomization_inference,10000,0,0.0,0.0,0.0,0.0,,,1.0,0.717925,0.75,,,,0.0646,
zero,wild_sign_enum,10000,0,0.0,0.0,0.0,0.0,,,1.0,0.554075,0.5,,,,0.0646,
