method,n_reps,truth,mean_estimate,bias,mcse_bias,rmse,sd_estimate,coverage_95,fpr,fnr,sign_correctness,claim_accuracy,effect_attenuation,arm,offset,event_weekday,event_week_contamination_share,any_method_disagreement,disagree_naive_weekly_vs_daily,disagree_exposure_weekly_vs_daily,disagree_aligned_weekly_vs_daily
daily,2000,0.0,-0.02022028406606669,-0.02022028406606669,0.007597132300363451,0.34027045397297506,0.3397540851534405,1.0,0.0,,,1.0,,zero,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
naive_weekly,2000,0.0,-0.008943931920916684,-0.008943931920916684,0.005479177062197616,0.24513819591151453,0.24503624743662925,1.0,0.0,,,1.0,,zero,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
exposure_weekly,2000,0.0,-0.017190315477120136,-0.017190315477120136,0.010647998749004729,0.47638417457599985,0.4761929805421459,1.0,0.0,,,1.0,,zero,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
aligned_weekly,2000,0.0,-0.02022028406606669,-0.02022028406606669,0.007597132300363451,0.34027045397297506,0.3397540851534405,1.0,0.0,,,1.0,,zero,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
daily,2000,0.12857142857142856,0.10835114450536218,-0.02022028406606638,0.007597132300363451,0.34027045397297506,0.3397540851534405,1.0,,1.0,0.6985,0.0,0.8427311239305948,substantive_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
naive_weekly,2000,0.12857142857142856,0.055341782364797774,-0.07322964620663079,0.005479177062197616,0.2556859836989396,0.24503624743662925,0.9875,,1.0,0.623,0.0,0.4304360850595383,substantive_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
exposure_weekly,2000,0.12857142857142856,0.13429483303773174,0.005723404466303185,0.01064799874900473,0.47610831981697055,0.476192980542146,1.0,,1.0,0.6445,0.0,1.044515368071247,substantive_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
aligned_weekly,2000,0.12857142857142856,0.10835114450536218,-0.02022028406606638,0.007597132300363451,0.34027045397297506,0.3397540851534405,1.0,,1.0,0.6985,0.0,0.8427311239305948,substantive_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
daily,2000,0.3,0.27977971593393397,-0.02022028406606601,0.007597132300363451,0.340270453972975,0.3397540851534405,0.8395,,1.0,0.837,0.0,0.9325990531131133,substantive_persistent,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
naive_weekly,2000,0.3,0.14105606807908366,-0.1589439319209163,0.005479177062197616,0.2920204011212692,0.24503624743662925,0.6435,,1.0,0.7455,0.0,0.47018689359694554,substantive_persistent,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
exposure_weekly,2000,0.3,0.28280968452288063,-0.017190315477119363,0.01064799874900473,0.47638417457599985,0.476192980542146,0.976,,1.0,0.7605,0.0,0.9426989484096021,substantive_persistent,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
aligned_weekly,2000,0.3,0.27977971593393397,-0.02022028406606601,0.007597132300363451,0.340270453972975,0.3397540851534405,0.8395,,1.0,0.837,0.0,0.9325990531131133,substantive_persistent,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
daily,2000,0.16534949311354508,0.14512920904747836,-0.020220284066066754,0.007597132300363451,0.34027045397297506,0.3397540851534405,0.999,,1.0,0.7325,0.0,0.8777118472798614,calibration_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
naive_weekly,2000,0.16534949311354508,0.07373081463585582,-0.09161867847768926,0.005479177062197616,0.2615467901208965,0.24503624743662925,0.9555,,1.0,0.653,0.0,0.44590892446960845,calibration_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
exposure_weekly,2000,0.16534949311354508,0.17762740413190817,0.012277911018363088,0.01064799874900473,0.4762322143022547,0.476192980542146,0.9995,,1.0,0.6785,0.0,1.0742543009184302,calibration_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
aligned_weekly,2000,0.16534949311354508,0.14512920904747836,-0.020220284066066754,0.007597132300363451,0.34027045397297506,0.3397540851534405,0.999,,1.0,0.7325,0.0,0.8777118472798614,calibration_transient,0,Thursday,0.42857142857142855,0.0,0.0,0.0,0.0
